fecha,id,titular
"Lun, 03/01/2022 - 11:58",[0],Río: Agencia sanitaria confirma 28 casos de covid en crucero
"Lun, 03/01/2022 - 11:35",[1], Bolsonaro es hospitalizado con dolor abdominal
"Lun, 03/01/2022 - 10:14",[2],Brasil: São Paulo en alerta por fuertes lluvias
"Lun, 03/01/2022 - 07:46",[3],Agência Brasil explica cambios en pensiones para 2022
"Sáb, 01/01/2022 - 07:45",[4],Brasileños renuevan sus esperanzas para el nuevo año
"Vie, 31/12/2021 - 15:35",[5],Fuegos artficiales: ¿Por qué asustan a los perros y gatos?
"Vie, 31/12/2021 - 10:54",[6],Brasil: Salario mínimo será de R$ 1.212 a partir del 1 de enero
"Jue, 30/12/2021 - 12:24",[7],Instituciones federales no podrán exigir vacuna anticovid-19
"Jue, 30/12/2021 - 10:40",[8],Brasil: Inundaciones dejan 24 muertos en Bahía
"Mié, 29/12/2021 - 14:54",[9],Ministro: Consulta sobre vacunación infantil es tema resuelto
"Mié, 29/12/2021 - 11:58",[10],Brasil restringe fiestas de fin de año por pandemia
"Mié, 29/12/2021 - 10:30",[11],Covid-19: Brasil alcanza los 320 millones de vacunas aplicadas
"Mié, 29/12/2021 - 06:10",[12],Lluvias: Se destinarán R$ 50 millones para reconstrucciones en Bahía
"Mar, 28/12/2021 - 14:17",[13],Petrobras: Fondos recuperados superan los R$ 6.000 millones
