descripcion,id,titular
14:37,[0],MEF flexibiliza deducción de gastos para pago de IR de tercera categoría
14:23,[1],Las Bambas: Comunidades de Ccapacmarca señalan desconocer los acuerdos con la minera y el Estado
13:41,[2],Trabajadores independientes con sueldo menor a S/3.354 no pagarán Impuesto a la Renta
13:34,[3],"La UIT sube a S/4.600 para el 2022, ¿qué implica esto para la economía peruana?"
,[4],
13:33,[5],Carlos Oliva: “El foco ha estado en atacar a la minería formal y no decir nada de la informal” | ENTREVISTA
13:33,[6],"Tabernero: “La importación de botellas para piscos, y vinos ha sido un problema [este año]” | Entrevista"
13:33,[7],"Grupo Primax: “Estamos explorando otros mercados en la región, como Chile y Centroamérica”"
13:32,[8],San Fernando: “La oferta de pavo se habría recuperado sino fuera por el alza del dólar y la incertidumbre en el país”
,[9],
13:32,[10],Gasolina en cuatro distritos llega a casi S/20 el galón
13:32,[11],Embajadora del Reino Unido: “El Gobierno peruano no debe necesitar acuerdos gobierno a gobierno”
13:32,[12],AFP: ¿Cómo terminarían los fondos de pensiones en el 2021?
13:06,[13],"Balón de gas debe bajar de precio en S/ 2.25 por menor costo del GLP, afirma Opecu"
,[14],
12:55,[15],MTC entregará buena pro para operación provisional de la Red Dorsal de Fibra Óptica en enero
12:55,[16],"BCR: Crédito al sector privado aumentó 0,7% en noviembre"
12:54,[17],México: ¿Cuál es el precio del dólar hoy viernes 31 de diciembre de 2021?
12:21,[18],"Tipo de cambio: ¿a cuánto se cotiza el dólar? hoy, viernes 31 de diciembre"
12:21,[19],"DolarToday Venezuela Hoy, 31 de diciembre: conoce el precio de compra y venta"
12:17,[20],"Trabajo remoto: ¿Por qué es importante su prórroga, implicancias y recomendaciones?"
12:16,[21],Hoy es el último día para retirar el 100% de CTS: sepa cómo solicitarlo y qué hacer con estos fondos
10:08,[22],MTC modifica inicio de transmisión digital por TV en 16 regiones por impacto del COVID-19
09:46,[23],Alza de la UIT en 2022: Estos son los 8 efectos que tendrá en la economía familiar
08:44,[24],Oro cerraría el año a la baja por primera vez desde 2018 por menor interés en activos de refugio
08:39,[25],Metales básicos cotizan con tendencia dispar en sesión de bajas operaciones por fiestas de fin de año
2021-12-30,[26],Tarjetas de crédito: ¿En cuánto se cayó la cartera por la pandemia?
2021-12-30,[27],Coca-Cola Perú: “El entorno (económico) está complicado pero estamos contentos con los resultados que se están logrando”
2021-12-30,[28],Las Bambas se pronuncia tras diálogo con comuneros de Chumbivilcas y la PCM
2021-12-30,[29],"Bono Yanapay: Si tu DNI acaba en 6, puedes cobrar este beneficio económico hoy 30 de diciembre"
2021-12-30,[30],BVL cierra con todos sus indicadores en terreno positivo en vísperas de Año Nuevo
2021-12-30,[31],Las Bambas: PCM y comunidades de Chumbivilcas logran acuerdos durante reunión
2021-12-30,[32],Petro-Perú plantea que Pluspetrol le entregue todo el GLP proveniente del lote 88
2021-12-30,[33],"DolarToday Venezuela Hoy, 30 de diciembre: conoce el precio de compra y venta"
2021-12-30,[34],"Precio del dólar hoy en Chile: cotización del peso chileno al dólar estadounidense hoy, jueves 30 de diciembre"
2021-12-30,[35],Osinergmin ajusta a la baja banda de precios del gas licuado de petróleo
2021-12-30,[36],"Demanda de taxis a playas de Lima y del sur se incrementa 10,6% en diciembre"
2021-12-30,[37],Pensión 65: 13.000 nuevos usuarios de centros poblados amazónicos son incorporados
2021-12-30,[38],"Tipo de cambio: Dólar cierra la jornada en S/3,989"
2021-12-30,[39],"Impuesto a la Renta e IGV: Ejecutivo oficializa beneficios tributarios, ¿cuáles son?"
2021-12-30,[40],México: ¿Cuál es el precio del dólar hoy jueves 30 de diciembre de 2021?
2021-12-30,[41],Midagri descarta inflación en el corto plazo tras actualización de franja de precios de alimentos
2021-12-30,[42],"Tipo de cambio: ¿a cuánto se cotiz el dólar? hoy, jueves 30 de diciembre"
2021-12-30,[43],Gobierno prorrogó la ley de trabajo remoto: ¿cuáles son los cambios necesarios que la norma no incluyó?
2021-12-30,[44],¿Qué marcó la agenda laboral en el 2021 y cuáles son los retos para el 2022?
2021-12-30,[45],"Oro cae por tercera jornada consecutiva, presionado por fortaleza del dólar"
2021-12-30,[46],"Cobre abre a la baja, pero analistas prevén mejor panorama para el metal rojo en 2022"
2021-12-30,[47],MEF eleva valor de la UIT a S/ 4.600 para el año 2022
2021-12-30,[48],Pantene Pro-V Dry Shampoo es retirado voluntariamente del mercado porque tendría residuos de benceno
2021-12-30,[49],Ejecutivo aprueba medidas tributarias que incrementarán la recaudación hasta en S/2.000 millones al año
2021-12-29,[50],"Tipo de cambio: precio del dólar subió a S/3,979 al cierre de la jornada"
2021-12-29,[51],Iquitos será la primera ciudad del Perú que funcionará con energía solar
2021-12-29,[52],"Bono Yanapay hoy: Si tu DNI termina en 5, puedes cobrarlo este miércoles 29 de diciembre"
